src_id,dst_id,port,protocol,direction,confidence
srv-0001,srv-0005,443,HTTPS,outbound,low
srv-0001,srv-0006,8080,HTTP,outbound,high
srv-0001,srv-0007,8443,HTTPS,outbound,high
srv-0001,srv-0008,8080,HTTP,outbound,low
srv-0002,srv-0005,8080,HTTP,outbound,high
srv-0002,srv-0006,443,HTTPS,outbound,low
srv-0002,srv-0007,443,HTTPS,outbound,low
srv-0002,srv-0008,8443,HTTPS,outbound,high
srv-0003,srv-0005,8443,HTTPS,outbound,low
srv-0003,srv-0006,8080,HTTP,outbound,medium
srv-0003,srv-0007,8080,HTTP,outbound,high
srv-0003,srv-0008,8443,HTTPS,outbound,medium
srv-0004,srv-0005,8443,HTTPS,outbound,high
srv-0004,srv-0006,8080,HTTP,outbound,high
srv-0004,srv-0007,443,HTTPS,outbound,medium
srv-0004,srv-0008,8443,HTTPS,outbound,low
srv-0016,srv-0018,443,HTTPS,outbound,low
srv-0016,srv-0019,8080,HTTP,outbound,high
srv-0016,srv-0020,8443,HTTPS,outbound,low
srv-0017,srv-0018,8080,HTTP,outbound,low
srv-0017,srv-0019,8080,HTTP,outbound,high
srv-0017,srv-0020,443,HTTPS,outbound,high
srv-0029,srv-0032,8443,HTTPS,outbound,medium
srv-0029,srv-0033,8443,HTTPS,outbound,low
srv-0029,srv-0034,8443,HTTPS,outbound,medium
srv-0030,srv-0032,8443,HTTPS,outbound,medium
srv-0030,srv-0033,8080,HTTP,outbound,high
srv-0030,srv-0034,8443,HTTPS,outbound,high
srv-0031,srv-0032,8080,HTTP,outbound,medium
srv-0031,srv-0033,8080,HTTP,outbound,low
srv-0031,srv-0034,443,HTTPS,outbound,medium
srv-0037,srv-0039,443,HTTPS,outbound,high
srv-0037,srv-0040,8080,HTTP,outbound,high
srv-0037,srv-0041,8080,HTTP,outbound,high
srv-0038,srv-0039,8443,HTTPS,outbound,high
srv-0038,srv-0040,8080,HTTP,outbound,low
srv-0038,srv-0041,8443,HTTPS,outbound,high
srv-0063,srv-0065,8080,HTTP,outbound,high
srv-0063,srv-0066,443,HTTPS,outbound,medium
srv-0064,srv-0065,443,HTTPS,outbound,medium
srv-0064,srv-0066,443,HTTPS,outbound,high
srv-0084,srv-0086,443,HTTPS,outbound,medium
srv-0084,srv-0087,443,HTTPS,outbound,high
srv-0085,srv-0086,443,HTTPS,outbound,high
srv-0085,srv-0087,8443,HTTPS,outbound,medium
srv-0090,srv-0092,8080,HTTP,outbound,low
srv-0090,srv-0093,8080,HTTP,outbound,high
srv-0090,srv-0094,8080,HTTP,outbound,high
srv-0090,srv-0095,443,HTTPS,outbound,high
srv-0091,srv-0092,8080,HTTP,outbound,low
srv-0091,srv-0093,8080,HTTP,outbound,medium
srv-0091,srv-0094,443,HTTPS,outbound,high
srv-0091,srv-0095,8080,HTTP,outbound,medium
srv-0112,srv-0114,443,HTTPS,outbound,high
srv-0112,srv-0115,8443,HTTPS,outbound,high
srv-0112,srv-0116,8080,HTTP,outbound,high
srv-0113,srv-0114,443,HTTPS,outbound,high
srv-0113,srv-0115,8080,HTTP,outbound,medium
srv-0113,srv-0116,8080,HTTP,outbound,medium
srv-0126,srv-0127,443,HTTPS,outbound,low
srv-0126,srv-0128,443,HTTPS,outbound,high
srv-0130,srv-0132,8443,HTTPS,outbound,medium
srv-0130,srv-0133,8443,HTTPS,outbound,high
srv-0131,srv-0132,8080,HTTP,outbound,low
srv-0131,srv-0133,443,HTTPS,outbound,low
srv-0001,srv-0150,88,LDAP,outbound,medium
srv-0002,srv-0153,636,LDAP,outbound,medium
srv-0002,srv-0182,53,DNS,outbound,low
srv-0003,srv-0154,88,LDAP,outbound,medium
srv-0003,srv-0182,53,DNS,outbound,low
srv-0004,srv-0154,88,LDAP,outbound,medium
srv-0004,srv-0182,53,DNS,outbound,low
srv-0005,srv-0151,88,LDAP,outbound,medium
