server_id,sample_date,cpu_avg_pct,cpu_peak_pct,cpu_p95_pct,mem_avg_pct,mem_peak_pct,mem_p95_pct,disk_iops_avg,disk_iops_peak,disk_read_iops_avg,disk_write_iops_avg,disk_throughput_mbps_avg,net_in_gb,net_out_gb,net_in_peak_mbps,net_out_peak_mbps
srv-0001,2026-08-08,25.6,32.9,30.4,51.0,56.1,54.3,31.5,86.0,17.3,14.2,1.58,3.008,52.243,2.7,41.0
srv-0001,2026-08-09,28.0,35.5,32.9,51.3,61.4,57.9,31.9,83.0,17.5,14.3,1.59,4.923,43.709,4.0,17.1
srv-0001,2026-08-10,33.7,49.4,43.9,53.1,60.0,57.6,54.8,117.4,30.1,24.6,2.74,4.463,49.85,3.6,38.5
srv-0001,2026-08-11,38.8,64.3,55.4,53.9,64.4,60.8,51.4,93.3,28.3,23.1,2.57,7.911,65.795,3.7,25.9
srv-0001,2026-08-12,37.9,50.4,46.0,54.0,63.3,60.0,47.0,120.7,25.9,21.2,2.35,5.751,52.677,3.5,20.1
srv-0001,2026-08-13,46.4,62.3,56.7,55.0,60.0,58.3,49.3,128.8,27.1,22.2,2.46,4.708,57.581,4.3,24.6
srv-0001,2026-08-14,43.1,60.7,54.5,54.4,59.9,58.0,45.8,110.7,25.2,20.6,2.29,7.72,42.069,6.3,16.3
srv-0001,2026-08-15,24.0,30.8,28.4,51.7,57.8,55.7,33.4,79.3,18.4,15.0,1.67,2.978,35.438,1.4,15.5
srv-0001,2026-08-16,24.0,36.1,31.9,50.8,59.0,56.1,26.4,61.3,14.5,11.9,1.32,2.489,45.544,1.3,17.1
srv-0001,2026-08-17,36.1,46.2,42.6,53.5,61.4,58.7,48.0,115.5,26.4,21.6,2.4,4.472,79.87,3.8,56.8
srv-0001,2026-08-18,39.8,56.7,50.8,54.7,59.2,57.6,44.4,92.5,24.4,20.0,2.22,7.8,86.418,3.7,38.9
srv-0001,2026-08-19,40.6,66.2,57.3,54.9,58.3,57.1,56.7,115.6,31.2,25.5,2.83,5.08,95.382,3.6,77.4
srv-0001,2026-08-20,37.7,47.7,44.2,53.8,57.3,56.1,60.8,159.6,33.4,27.4,3.04,4.745,50.874,2.4,33.0
srv-0001,2026-08-21,41.6,61.4,54.5,55.4,58.4,57.4,63.9,129.4,35.1,28.8,3.2,5.275,94.789,3.6,55.3
srv-0001,2026-08-22,25.3,40.9,35.5,51.8,59.0,56.5,43.7,109.6,24.0,19.6,2.18,3.964,38.203,1.6,37.8
srv-0001,2026-08-23,27.2,34.4,31.9,52.0,56.2,54.7,32.9,86.7,18.1,14.8,1.64,6.047,62.307,4.6,52.9
srv-0001,2026-08-24,43.7,99,79.6,54.5,66.5,62.3,50.5,294.1,27.8,22.7,2.53,12.263,212.327,9.3,183.4
srv-0001,2026-08-25,46.6,73.6,64.1,54.8,66.5,62.4,42.8,112.8,23.6,19.3,2.14,4.75,47.131,4.0,46.8
srv-0001,2026-08-26,36.9,49.2,44.9,53.2,56.1,55.1,52.9,134.9,29.1,23.8,2.64,5.734,61.608,2.2,29.8
srv-0001,2026-08-27,45.0,99,80.1,55.3,60.7,58.8,68.9,334.0,37.9,31.0,3.45,13.493,132.804,8.8,66.0
srv-0001,2026-08-28,41.7,59.3,53.1,54.5,64.4,60.9,61.7,116.9,33.9,27.7,3.08,5.874,52.241,3.9,20.1
