server_id,hostname,env,os_name,os_version,os_eol_date,vcpu,ram_gb,provisioned_disk_gb,used_disk_gb,cpu_avg_pct,cpu_peak_pct,ram_avg_pct,disk_iops_avg,disk_iops_peak,net_in_gb_30d,net_out_gb_30d,cluster,datacenter,powerstate,app_id,notes
srv-0001,webp0001,prod,Ubuntu,18.04 LTS,2023-05-31,2,16,128,90.5,35.9,99,53.5,46.9,334.0,167.9,2061.6,ASH-PRD-CL02,DC-ASHBURN,poweredOn,app-01,VMware vSphere 7.0 VM
srv-0002,webp0002,prod,Red Hat Enterprise Linux,8.8,2029-05-31,8,32,1024,535.9,12.8,45.5,75.0,87.0,439.4,197.3,2416.9,DAL-PRD-CL01,DC-DALLAS,poweredOn,app-01,VMware vSphere 7.0 VM
srv-0003,webp0003,prod,Red Hat Enterprise Linux,8.8,2029-05-31,2,8,512,172.1,24.6,99,72.8,44.4,303.2,147.8,2267.4,ASH-PRD-CL02,DC-ASHBURN,poweredOn,app-01,VMware vSphere 7.0 VM
srv-0004,webp0004,prod,Red Hat Enterprise Linux,7.9,2024-06-30,4,32,100,30.7,,,,,,,,ASH-PRD-CL02,DC-ASHBURN,poweredOn,app-01,VMware vSphere 7.0 VM; RHEL 7 past maintenance support; no performance history from vCenter (< 30 days)
srv-0005,appp0005,prod,Ubuntu,22.04 LTS,2027-04-30,4,16,400,149.7,26.8,99,70.0,97.1,715.8,398.3,875.8,DAL-PRD-CL01,DC-DALLAS,poweredOn,app-01,VMware vSphere 7.0 VM
srv-0006,appp0006,prod,Red Hat Enterprise Linux,7.9,2024-06-30,4,32,256,218.6,22.4,46.1,79.9,165.4,547.1,309.7,919.9,DAL-PRD-CL01,DC-DALLAS,poweredOn,app-01,VMware vSphere 7.0 VM; RHEL 7 past maintenance support
srv-0007,appp0007,prod,Ubuntu,20.04 LTS,2025-04-30,4,16,200,161.9,29.1,65.7,58.4,212.8,786.2,275.4,629.3,DAL-PRD-CL01,DC-DALLAS,poweredOn,app-01,VMware vSphere 7.0 VM
srv-0008,appp0008,prod,Red Hat Enterprise Linux,8.8,2029-05-31,8,32,1024,442.8,40.7,65.5,38.2,,,,,ASH-PRD-CL01,DC-ASHBURN,poweredOff,app-01,VMware vSphere 7.0 VM; powered off at discovery - confirm if decommissioned
srv-0009,dbp0009,prod,Red Hat Enterprise Linux,9.3,2032-05-31,4,32,4096,2563.8,24.4,73.1,42.5,924.6,3643.0,206.5,537.9,DAL-PRD-CL01,DC-DALLAS,poweredOn,app-01,VMware vSphere 7.0 VM
srv-0010,dbp0010,prod,Ubuntu,18.04 LTS,2023-05-31,16,128,512,230.5,,,,,,,,ASH-PRD-CL02,DC-ASHBURN,poweredOn,app-01,VMware vSphere 7.0 VM; no performance history from vCenter (< 30 days)
srv-0011,appp0011,prod,Red Hat Enterprise Linux,9.3,2032-05-31,16,64,1024,648.4,,,,,,,,ASH-PRD-CL02,DC-ASHBURN,poweredOn,app-02,VMware vSphere 7.0 VM; no performance history from vCenter (< 30 days)
srv-0012,appp0012,prod,SUSE Linux Enterprise Server,15 SP4,2031-12-31,4,32,800,233.0,34.9,90.5,46.2,203.3,1020.7,103.7,170.2,ASH-PRD-CL01,DC-ASHBURN,poweredOn,app-02,VMware vSphere 7.0 VM
