storage_id,server_id,type,size_gb,iops,target_service
stg-0001,srv-0001,block,64,1100,Premium SSD P10
stg-0002,srv-0001,block,126.0,500,Premium SSD v2
stg-0003,srv-0002,block,64,1100,Premium SSD P10
stg-0004,srv-0002,block,434.5,1100,Premium SSD v2
stg-0005,srv-0002,block,332.7,500,Premium SSD v2
stg-0006,srv-0003,block,64,1100,Premium SSD P10
stg-0007,srv-0004,block,64,500,Premium SSD P10
stg-0008,srv-0004,block,45.1,2300,Premium SSD P20
stg-0009,srv-0004,block,37.6,500,Premium SSD v2
stg-0010,srv-0005,block,64,2300,Premium SSD P10
stg-0011,srv-0005,block,199.3,1100,Premium SSD P30
stg-0012,srv-0005,block,186.2,5000,Ultra Disk
stg-0013,srv-0006,block,64,1100,Premium SSD P10
stg-0014,srv-0006,block,257.2,500,Premium SSD v2
stg-0015,srv-0007,block,64,1100,Premium SSD P10
stg-0016,srv-0008,block,64,1100,Premium SSD P10
stg-0017,srv-0008,block,387.7,5000,Standard SSD E20
stg-0018,srv-0008,block,424.9,500,Premium SSD P20
stg-0019,srv-0009,block,64,2300,Premium SSD P10
stg-0020,srv-0009,block,2134.7,5000,Standard SSD E20
stg-0021,srv-0009,block,1669.8,7500,Standard SSD E20
stg-0022,srv-0009,db,2636.7,5000,Oracle DB@Azure
stg-0023,srv-0010,block,64,2300,Premium SSD P10
stg-0024,srv-0010,block,143.0,5000,Ultra Disk
stg-0025,srv-0010,block,107.2,7500,Standard SSD E20
stg-0026,srv-0010,block,152.8,16000,Ultra Disk
stg-0027,srv-0010,db,378.0,12000,PostgreSQL Flexible Server
stg-0028,srv-0011,block,64,500,Premium SSD P10
stg-0029,srv-0012,block,64,2300,Premium SSD P10
stg-0030,srv-0013,block,64,500,Premium SSD P10
stg-0031,srv-0013,block,793.0,500,Premium SSD P30
stg-0032,srv-0014,block,64,1100,Premium SSD P10
stg-0033,srv-0014,block,833.6,7500,Standard SSD E20
stg-0034,srv-0014,db,589.4,20000,Azure SQL DB Hyperscale
stg-0035,srv-0015,block,64,500,Premium SSD P10
stg-0036,srv-0015,block,473.1,2300,Premium SSD v2
stg-0037,srv-0015,db,427.2,5000,PostgreSQL Flexible Server
stg-0038,srv-0016,block,128,500,Premium SSD P10
stg-0039,srv-0017,block,128,2300,Premium SSD P10
stg-0040,srv-0017,block,49.5,5000,Ultra Disk
stg-0041,srv-0018,block,128,2300,Premium SSD P10
stg-0042,srv-0018,block,93.9,5000,Ultra Disk
stg-0043,srv-0018,block,78.2,2300,Standard SSD E20
stg-0044,srv-0019,block,128,2300,Premium SSD P10
stg-0045,srv-0019,block,76.1,500,Standard SSD E20
stg-0046,srv-0019,block,65.0,1100,Premium SSD P30
stg-0047,srv-0020,block,128,1100,Premium SSD P10
stg-0048,srv-0020,block,699.7,2300,Premium SSD P30
stg-0049,srv-0021,block,128,1100,Premium SSD P10
stg-0050,srv-0021,block,868.8,2300,Ultra Disk
stg-0051,srv-0021,db,519.2,12000,SQL Managed Instance
stg-0052,srv-0022,block,128,1100,Premium SSD P10
stg-0053,srv-0022,block,171.1,2300,Ultra Disk
stg-0054,srv-0022,block,110.5,7500,Premium SSD P30
stg-0055,srv-0022,block,108.1,16000,Standard SSD E20
stg-0056,srv-0022,db,258.5,5000,PostgreSQL Flexible Server
stg-0057,srv-0023,block,64,2300,Premium SSD P10
stg-0058,srv-0023,block,81.6,2300,Premium SSD P20
stg-0059,srv-0024,block,64,1100,Premium SSD P10
stg-0060,srv-0024,block,46.4,5000,Ultra Disk
stg-0061,srv-0024,block,44.2,500,Ultra Disk
stg-0062,srv-0025,block,64,500,Premium SSD P10
stg-0063,srv-0025,block,45.2,5000,Premium SSD P30
stg-0064,srv-0025,block,68.4,5000,Ultra Disk
stg-0065,srv-0026,block,64,2300,Premium SSD P10
stg-0066,srv-0027,block,64,2300,Premium SSD P10
stg-0067,srv-0027,block,400.5,5000,Premium SSD P20
stg-0068,srv-0027,db,243.3,20000,PostgreSQL Flexible Server
stg-0069,srv-0028,block,64,1100,Premium SSD P10
stg-0070,srv-0028,block,518.4,2300,Premium SSD P20
stg-0071,srv-0028,block,698.4,7500,Premium SSD P30
stg-0072,srv-0028,block,630.1,7500,Ultra Disk
stg-0073,srv-0028,db,1061.0,5000,SQL Managed Instance
stg-0074,srv-0029,block,64,500,Premium SSD P10
stg-0075,srv-0029,block,78.6,2300,Standard SSD E20
stg-0076,srv-0030,block,64,1100,Premium SSD P10
stg-0077,srv-0030,block,40.6,500,Premium SSD P20
stg-0078,srv-0030,block,34.0,1100,Premium SSD v2
stg-0079,srv-0031,block,64,1100,Premium SSD P10
stg-0080,srv-0031,block,185.9,1100,Premium SSD v2
stg-0081,srv-0032,block,64,2300,Premium SSD P10
stg-0082,srv-0032,block,49.6,500,Premium SSD v2
stg-0083,srv-0032,block,37.8,2300,Premium SSD v2
stg-0084,srv-0033,block,64,1100,Premium SSD P10
stg-0085,srv-0033,block,374.3,500,Standard SSD E20
stg-0086,srv-0034,block,64,2300,Premium SSD P10
stg-0087,srv-0034,block,71.8,500,Ultra Disk
stg-0088,srv-0035,block,64,2300,Premium SSD P10
stg-0089,srv-0035,block,434.3,2300,Premium SSD P20
stg-0090,srv-0035,block,460.8,7500,Premium SSD P30
stg-0091,srv-0035,db,835.8,20000,Oracle DB@Azure
stg-0092,srv-0036,block,64,2300,Premium SSD P10
stg-0093,srv-0036,block,2186.8,5000,Premium SSD P20
stg-0094,srv-0036,db,928.6,5000,PostgreSQL Flexible Server
stg-0095,srv-0037,block,128,1100,Premium SSD P10
stg-0096,srv-0037,block,72.7,500,Standard SSD E20
stg-0097,srv-0037,block,86.7,500,Premium SSD P30
stg-0098,srv-0038,block,128,2300,Premium SSD P10
stg-0099,srv-0038,block,857.5,1100,Premium SSD P30
stg-0100,srv-0038,block,1064.7,1100,Premium SSD P30
stg-0101,srv-0039,block,128,1100,Premium SSD P10
stg-0102,srv-0039,block,202.1,500,Ultra Disk
stg-0103,srv-0040,block,128,500,Premium SSD P10
stg-0104,srv-0041,block,128,2300,Premium SSD P10
stg-0105,srv-0041,block,186.0,5000,Premium SSD P30
stg-0106,srv-0042,block,128,2300,Premium SSD P10
stg-0107,srv-0042,block,2153.6,2300,Ultra Disk
stg-0108,srv-0042,block,2116.6,16000,Standard SSD E20
stg-0109,srv-0042,db,1654.5,12000,PostgreSQL Flexible Server
stg-0110,srv-0043,block,128,1100,Premium SSD P10
stg-0111,srv-0043,block,4375.2,5000,Premium SSD P30
stg-0112,srv-0043,db,2069.3,5000,Oracle DB@Azure
stg-0113,srv-0044,block,64,2300,Premium SSD P10
stg-0114,srv-0044,block,532.3,5000,Premium SSD v2
stg-0115,srv-0045,block,64,1100,Premium SSD P10
